time,open,high,low,close,volume,close_time,quote_volume,trade_number,taker_buy_volume,taker_quote_volume,na
1678636800000,1455.88000000,1548.80000000,1453.74000000,1512.57000000,321583.34770000,1678651199999,486773084.83272100,371530,168861.46170000,255546866.03592400,0
1678651200000,1512.58000000,1594.19000000,1510.72000000,1580.33000000,257661.31770000,1678665599999,401602568.40091400,390822,135986.20960000,211964702.51090400,0
1678665600000,1580.33000000,1622.60000000,1573.07000000,1588.43000000,251148.49170000,1678679999999,401017318.73526400,335896,127092.84410000,202916647.16531600,0
1678680000000,1588.42000000,1615.64000000,1587.84000000,1606.84000000,130468.13680000,1678694399999,208730991.27495200,180869,67607.89700000,108159556.68070200,0
1678694400000,1606.84000000,1608.33000000,1565.00000000,1581.07000000,176353.84960000,1678708799999,279263889.48241700,235341,89371.65100000,141527780.68891400,0
1678708800000,1581.07000000,1693.49000000,1572.54000000,1664.68000000,429174.57720000,1678723199999,701159916.61852500,566547,224525.68910000,367085215.05500400,0
1678723200000,1664.69000000,1685.00000000,1646.86000000,1677.68000000,164719.87850000,1678737599999,274785505.06371000,222797,83964.98450000,140057388.04657300,0
1678737600000,1677.69000000,1681.72000000,1660.05000000,1673.45000000,76198.67150000,1678751999999,127320263.62147300,129833,38823.24010000,64875986.73436100,0
1678752000000,1673.44000000,1684.00000000,1660.88000000,1677.57000000,115626.84640000,1678766399999,193436948.37279100,190790,60039.49290000,100447500.55618900,0
1678766400000,1677.57000000,1695.00000000,1658.54000000,1666.63000000,130252.69260000,1678780799999,218125938.75466600,205788,68919.34910000,115428232.35584500,0
1678780800000,1666.63000000,1689.90000000,1655.24000000,1683.65000000,133533.08250000,1678795199999,223437353.10168600,192156,70334.00580000,117714796.72073400,0
1678795200000,1683.65000000,1780.02000000,1671.50000000,1770.03000000,471252.59070000,1678809599999,816989203.18999000,585248,243517.32650000,422087603.49564400,0
1678809600000,1770.03000000,1775.21000000,1684.87000000,1720.30000000,255526.09350000,1678823999999,443190853.50461900,322625,125408.96950000,217503431.03558600,0
1678824000000,1720.30000000,1727.00000000,1659.29000000,1699.40000000,177129.92980000,1678838399999,300553530.98637000,253428,97846.53740000,166017869.19959200,0
1678838400000,1699.41000000,1716.90000000,1679.95000000,1701.76000000,129822.12040000,1678852799999,221064961.70578900,178050,63888.69010000,108794040.00909500,0
1678852800000,1701.76000000,1708.00000000,1692.65000000,1705.13000000,56748.28260000,1678867199999,96546077.08599400,103332,30726.00550000,52277252.48509300,0
1678867200000,1705.12000000,1705.50000000,1650.54000000,1679.92000000,142866.79670000,1678881599999,239911024.23228100,198243,68153.16830000,114453421.03316800,0
1678881600000,1679.91000000,1698.29000000,1625.56000000,1634.04000000,313571.19570000,1678895999999,520713824.29339600,424358,154240.57790000,256158507.25303100,0
1678896000000,1634.03000000,1655.41000000,1611.00000000,1647.99000000,242304.15990000,1678910399999,395833830.87168200,335417,109524.66910000,178842927.32417500,0
1678910400000,1648.00000000,1664.64000000,1637.72000000,1649.96000000,77829.92800000,1678924799999,128390987.70655300,148984,37252.09900000,61444452.16484000,0
1678924800000,1649.95000000,1659.71000000,1632.18000000,1646.31000000,93348.74300000,1678939199999,153730851.49064000,176500,49418.06490000,81382118.64465000,0
1678939200000,1646.30000000,1659.90000000,1636.60000000,1655.57000000,100219.98500000,1678953599999,165101034.70956800,157503,53084.87600000,87441988.20449800,0
